Nr,Navn,Antal,Pr. 1 000,År,køn
1,Carl,477,16,2023,Dreng
2,William,458,16,2023,Dreng
3,Oscar,452,15,2023,Dreng
4,Alfred,449,15,2023,Dreng
5,Noah,449,15,2023,Dreng
6,Aksel,441,15,2023,Dreng
7,Emil,430,15,2023,Dreng
8,Oliver,423,14,2023,Dreng
9,Malthe,403,14,2023,Dreng
10,Valdemar,392,13,2023,Dreng
11,August,377,13,2023,Dreng
12,Elliot,370,13,2023,Dreng
13,Theo,351,12,2023,Dreng
14,Arthur,346,12,2023,Dreng
15,Lucas,335,11,2023,Dreng
16,Elias,324,11,2023,Dreng
17,Lauge,323,11,2023,Dreng
18,Otto,319,11,2023,Dreng
19,Hugo,309,11,2023,Dreng
20,Felix,285,10,2023,Dreng
21,Magnus,279,10,2023,Dreng
22,Viggo,270,9,2023,Dreng
23,Victor,269,9,2023,Dreng
24,Theodor,257,9,2023,Dreng
25,Loui,255,9,2023,Dreng
26,Holger,249,8,2023,Dreng
27,Anker,245,8,2023,Dreng
28,Liam,245,8,2023,Dreng
29,Anton,243,8,2023,Dreng
30,Matheo,230,8,2023,Dreng
31,Konrad,227,8,2023,Dreng
32,Erik,214,7,2023,Dreng
33,Pelle,202,7,2023,Dreng
34,Luca,198,7,2023,Dreng
35,Asger,197,7,2023,Dreng
36,Ebbe,195,7,2023,Dreng
37,Nohr,194,7,2023,Dreng
38,Vincent,194,7,2023,Dreng
39,Kalle,190,6,2023,Dreng
40,Adam,181,6,2023,Dreng
41,Johan,173,6,2023,Dreng
42,Frederik,165,6,2023,Dreng
43,Storm,165,6,2023,Dreng
44,Albert,159,5,2023,Dreng
45,Walter,156,5,2023,Dreng
46,Alexander,154,5,2023,Dreng
47,Christian,151,5,2023,Dreng
48,Villads,146,5,2023,Dreng
49,Leo,142,5,2023,Dreng
50,Marius,138,5,2023,Dreng
1,William,560,19,2022,Dreng
2,Karl,466,16,2022,Dreng
3,Emil,459,15,2022,Dreng
4,Oscar,455,15,2022,Dreng
5,Malthe,452,15,2022,Dreng
6,Noah,446,15,2022,Dreng
7,Valdemar,432,14,2022,Dreng
8,Aksel,428,14,2022,Dreng
9,August,398,13,2022,Dreng
10,Oliver,398,13,2022,Dreng
11,Lucas,396,13,2022,Dreng
12,Alfred,391,13,2022,Dreng
13,Theo,376,13,2022,Dreng
14,Elias,370,12,2022,Dreng
15,Arthur,364,12,2022,Dreng
16,Otto,332,11,2022,Dreng
17,Elliot,325,11,2022,Dreng
18,Felix,314,10,2022,Dreng
19,Victor,299,10,2022,Dreng
20,Magnus,296,10,2022,Dreng
21,Hugo,281,9,2022,Dreng
22,Viggo,277,9,2022,Dreng
