Nr,Navn,Antal,Pr. 1 000,År,køn
1,Frida,425,15,2023,Pige
2,Luna,412,15,2023,Pige
3,Ella,410,15,2023,Pige
4,Alma,409,15,2023,Pige
5,Emma,402,15,2023,Pige
6,Sofia,397,14,2023,Pige
7,Olivia,395,14,2023,Pige
8,Agnes,392,14,2023,Pige
9,Ida,391,14,2023,Pige
10,Karla,381,14,2023,Pige
11,Ellie,380,14,2023,Pige
12,Clara,379,14,2023,Pige
13,Freja,343,12,2023,Pige
14,Nora,331,12,2023,Pige
15,Lily,326,12,2023,Pige
16,Alberte,316,11,2023,Pige
17,Esther,316,11,2023,Pige
18,Asta,296,11,2023,Pige
19,Ellen,284,10,2023,Pige
20,Anna,282,10,2023,Pige
21,Aya,246,9,2023,Pige
22,Isabella,228,8,2023,Pige
23,Lærke,213,8,2023,Pige
24,Astrid,212,8,2023,Pige
25,Saga,210,8,2023,Pige
26,Hannah,209,8,2023,Pige
27,Mathilde,207,7,2023,Pige
28,Josefine,205,7,2023,Pige
29,Laura,203,7,2023,Pige
30,Vilma,200,7,2023,Pige
31,Emily,197,7,2023,Pige
32,Liva,197,7,2023,Pige
33,Maja,196,7,2023,Pige
34,Vera,187,7,2023,Pige
35,Marie,181,7,2023,Pige
36,Leonora,178,6,2023,Pige
37,Mille,178,6,2023,Pige
38,Andrea,173,6,2023,Pige
39,Solveig,166,6,2023,Pige
40,Molly,164,6,2023,Pige
41,Victoria,163,6,2023,Pige
42,Merle,149,5,2023,Pige
43,Lea,148,5,2023,Pige
44,Liv,146,5,2023,Pige
45,Eva,140,5,2023,Pige
46,Ingrid,140,5,2023,Pige
47,Elina,137,5,2023,Pige
48,Rosa,137,5,2023,Pige
49,Gry,130,5,2023,Pige
50,Sofie,125,5,2023,Pige
1,Ella,442,16,2022,Pige
2,Freja,413,15,2022,Pige
3,Alma,409,15,2022,Pige
4,Frida,403,14,2022,Pige
5,Agnes,389,14,2022,Pige
6,Luna,383,14,2022,Pige
7,Ida,381,14,2022,Pige
8,Nora,378,13,2022,Pige
9,Olivia,377,13,2022,Pige
10,Sofia,376,13,2022,Pige
11,Emma,375,13,2022,Pige
12,Clara,361,13,2022,Pige
13,Asta,358,13,2022,Pige
14,Alberte,337,12,2022,Pige
15,Karla,337,12,2022,Pige
16,Lily,321,11,2022,Pige
17,Ellie,320,11,2022,Pige
18,Anna,315,11,2022,Pige
19,Ellen,303,11,2022,Pige
20,Esther,292,10,2022,Pige
21,Astrid,238,8,2022,Pige
22,Isabella,235,8,2022,Pige
23,Lærke,234,8,2022,Pige
24,Josefine,231,8,2022,Pige
25,Laura,226,8,2022,Pige
26,Mathilde,220,8,2022,Pige
27,Emily,215,8,2022,Pige
28,Mille,215,8,2022,Pige
29,Merle,207,7,2022,Pige
30,Saga,201,7,2022,Pige
31,Victoria,199,7,2022,Pige
32,Aya,197,7,2022,Pige
33,Maja,197,7,2022,Pige
34,Marie,192,7,2022,Pige
35,Vera,191,7,2022,Pige
36,Leonora,181,6,2022,Pige
37,Hannah,179,6,2022,Pige
38,Vilma,176,6,2022,Pige
39,Andrea,165,6,2022,Pige
40,Liva,160,6,2022,Pige
41,Liv,159,6,2022,Pige
42,Elina,158,6,2022,Pige
43,Lea,156,6,2022,Pige
44,Molly,156,6,2022,Pige
45,Gry,153,5,2022,Pige
46,Eva,151,5,2022,Pige
